Date,Open,High,Low,Close,Adj Close,Volume
2021-02-05,10958.900391,10987.049805,10649.000000,10723.950195,10723.950195,1743200
2021-02-08,10830.099609,11077.849609,10818.400391,11061.150391,11061.150391,2051500
2021-02-09,11087.400391,11093.150391,10855.250000,10907.599609,10907.599609,1763300
2021-02-10,10922.900391,11049.700195,10822.500000,11010.849609,11010.849609,2033100
2021-02-11,10947.500000,11057.099609,10878.349609,10965.250000,10965.250000,1372000
2021-02-12,10951.599609,10989.950195,10835.549805,10912.250000,10912.250000,2924300
2021-02-15,null,null,null,null,null,null
2021-02-16,11005.500000,11034.049805,10881.400391,10944.900391,10944.900391,1458800
2021-02-17,null,null,null,null,null,null
2021-02-18,11027.799805,11027.799805,10787.700195,10827.000000,10827.000000,1200400
2021-02-19,10785.049805,10786.450195,10450.549805,10540.349609,10540.349609,1601900
2021-02-22,10559.799805,10559.950195,10241.250000,10300.000000,10300.000000,1378700
2021-02-23,10343.549805,10423.250000,10205.849609,10379.549805,10379.549805,2121400
2021-02-24,10410.200195,10513.349609,10325.549805,10405.500000,10405.500000,854400
2021-02-25,10488.599609,10537.549805,10411.150391,10497.950195,10497.950195,1255300
2021-02-26,10368.750000,10450.950195,10110.500000,10169.900391,10169.900391,1712100
2021-03-01,10304.250000,10472.700195,10292.750000,10411.799805,10411.799805,1617400
2021-03-02,10491.799805,10766.700195,10419.750000,10744.049805,10744.049805,2038500
2021-03-03,10819.049805,10820.400391,10640.150391,10673.099609,10673.099609,1450800
2021-03-04,10559.400391,10710.099609,10514.299805,10625.750000,10625.750000,1103500
2021-03-05,10558.150391,10663.750000,10488.849609,10524.400391,10524.400391,1435500
2021-03-08,10597.799805,10632.099609,10488.400391,10507.349609,10507.349609,1299600
2021-03-09,10572.650391,10621.450195,10381.599609,10464.250000,10464.250000,1287800
2021-03-10,10525.750000,10613.599609,10511.150391,10559.299805,10559.299805,1053200
2021-03-12,10603.150391,10624.349609,10313.349609,10383.900391,10383.900391,931600
2021-03-15,10446.750000,10450.200195,10178.250000,10335.099609,10335.099609,929900
2021-03-16,10378.299805,10401.250000,10301.700195,10350.799805,10350.799805,100
2021-03-17,10369.750000,10378.799805,10133.900391,10159.099609,10159.099609,100
2021-03-18,10251.950195,10345.200195,10039.549805,10143.950195,10143.950195,1494000
2021-03-19,10067.150391,10207.150391,9841.650391,10186.500000,10186.500000,1931700
2021-03-22,10176.299805,10226.799805,10069.450195,10140.450195,10140.450195,977600
2021-03-23,10183.650391,10265.000000,10167.200195,10187.650391,10187.650391,1047600
2021-03-24,10116.700195,10164.349609,9897.849609,9925.250000,9925.250000,1096400
2021-03-25,9916.599609,9924.349609,9605.049805,9651.349609,9651.349609,1670200
2021-03-26,9766.400391,9853.849609,9749.400391,9771.500000,9771.500000,1328800
2021-03-30,9835.849609,9885.950195,9749.349609,9865.000000,9865.000000,946400
2021-03-31,9866.000000,9946.950195,9812.250000,9862.450195,9862.450195,987000
2021-04-01,9967.849609,10044.599609,9889.700195,10022.599609,10022.599609,939800
2021-04-05,9988.099609,9991.299805,9688.400391,9768.049805,9768.049805,1154100
2021-04-06,9836.849609,9881.200195,9755.099609,9781.349609,9781.349609,982800
2021-04-07,9790.000000,9950.549805,9761.150391,9937.000000,9937.000000,836500
2021-04-08,9992.299805,10083.299805,9933.099609,9959.349609,9959.349609,1439900
2021-04-09,9961.549805,10032.849609,9885.599609,9922.950195,9922.950195,1242200
2021-04-12,9738.349609,9738.349609,9345.200195,9415.650391,9415.650391,1713100
2021-04-13,9438.200195,9845.500000,9406.400391,9818.299805,9818.299805,1824100
2021-04-15,9787.849609,9817.000000,9558.700195,9691.450195,9691.450195,1248000
2021-04-16,9691.299805,9926.450195,9679.500000,9808.950195,9808.950195,1235300
2021-04-19,9476.650391,9562.950195,9395.250000,9532.150391,9532.150391,1271300
2021-04-20,9683.950195,9738.099609,9539.700195,9630.700195,9630.700195,1153800
2021-04-22,9529.299805,9665.950195,9503.799805,9644.549805,9644.549805,1172600
2021-04-23,9569.250000,9695.900391,9534.900391,9596.950195,9596.950195,1173200
2021-04-26,9630.200195,9713.099609,9612.700195,9641.450195,9641.450195,696300
2021-04-27,9662.299805,9733.799805,9653.900391,9708.200195,9708.200195,797900
2021-04-28,9781.500000,9968.400391,9758.150391,9871.500000,9871.500000,1446500
2021-04-29,9959.200195,9985.000000,9754.000000,9773.700195,9773.700195,954000
2021-04-30,9701.299805,9780.349609,9619.000000,9640.849609,9640.849609,878900
2021-05-03,9539.549805,9715.900391,9485.500000,9662.950195,9662.950195,841700
2021-05-04,9728.450195,9758.700195,9541.200195,9577.700195,9577.700195,845700
2021-05-05,null,null,null,null,null,null
2021-05-06,9669.200195,9826.549805,9664.299805,9815.099609,9815.099609,967700
2021-05-07,9858.349609,9907.450195,9767.000000,9819.450195,9819.450195,801200
2021-05-10,9856.650391,9984.799805,9834.500000,9973.049805,9973.049805,986600
2021-05-11,null,null,null,null,null,null
2021-05-12,9992.000000,10066.799805,9913.500000,10013.650391,10013.650391,1597900
2021-05-14,10059.200195,10061.500000,9777.500000,9810.450195,9810.450195,1228000
2021-05-17,9844.150391,10037.799805,9785.900391,10001.700195,10001.700195,1112900
2021-05-18,10102.400391,10344.500000,10070.250000,10324.000000,10324.000000,1780500
2021-05-19,10231.849609,10303.000000,10179.450195,10249.099609,10249.099609,1837100
2021-05-20,null,null,null,null,null,null
2021-05-21,10276.099609,10332.000000,10215.099609,10312.400391,10312.400391,849600
2021-05-24,10347.950195,10390.299805,10299.250000,10315.750000,10315.750000,769400
2021-05-25,null,null,null,null,null,null
2021-05-26,10423.450195,10473.450195,10399.099609,10437.799805,10437.799805,764100
2021-05-27,10467.250000,10561.299805,10441.349609,10486.000000,10486.000000,1089600
2021-05-28,10537.599609,10573.950195,10429.400391,10510.250000,10510.250000,760400
2021-05-31,null,null,null,null,null,null
2021-06-01,10507.299805,10619.000000,10443.750000,10457.849609,10457.849609,731200
2021-06-02,10431.549805,10671.599609,10413.299805,10647.750000,10647.750000,1508700
2021-06-03,10683.250000,10690.450195,10600.650391,10647.650391,10647.650391,1266800
2021-06-04,10672.849609,10749.150391,10634.900391,10735.750000,10735.750000,1253300
2021-06-07,10814.250000,10888.250000,10791.200195,10806.549805,10806.549805,1239300
2021-06-08,10836.049805,10889.650391,10762.150391,10873.900391,10873.900391,803100
2021-06-09,10889.150391,10913.950195,10670.549805,10734.400391,10734.400391,998500
2021-06-10,10773.849609,10781.500000,10681.900391,10722.700195,10722.700195,572900
2021-06-11,10772.349609,10807.150391,10717.250000,10765.500000,10765.500000,942200
2021-06-14,10755.349609,10767.799805,10570.849609,10753.099609,10753.099609,735300
2021-06-15,10768.200195,10803.250000,10739.400391,10754.400391,10754.400391,597000
